Date,births,,,,,,,
1/1/1969,8486,,,,,,,
1/2/1969,9002,,,,,,,
1/3/1969,9542,,,,,,,
1/4/1969,8960,,,,,,,
1/5/1969,8390,,,,,,,
1/6/1969,9560,,,,,,,
1/7/1969,9738,,,,,,,
1/8/1969,9734,,,,,,,
1/9/1969,9434,,,,,,,
1/10/1969,10042,,,,,,,
1/11/1969,9178,,,,,,,
1/12/1969,8450,,,,,,,
1/13/1969,9834,,,,,,,
1/14/1969,10366,,,,,,,
1/15/1969,9894,,,,,,,
1/16/1969,9662,,,,,,,
1/17/1969,9974,,,,,,,
1/18/1969,9312,,,,,,,
1/19/1969,8622,,,,,,,
1/20/1969,9808,,,,,,,
1/21/1969,10474,,,,,,,
1/22/1969,9884,,,,,,,
1/23/1969,9454,,,,,,,
1/24/1969,9798,,,,,,,
1/25/1969,9022,,,,,,,
1/26/1969,8568,,,,,,,
1/27/1969,9910,,,,,,,
1/28/1969,10032,,,,,,,
1/29/1969,9380,,,,,,,
1/30/1969,9674,,,,,,,
1/31/1969,9692,,,,,,,
2/1/1969,9130,,,,,,,
2/2/1969,8814,,,,,,,
2/3/1969,9988,,,,,,,
2/4/1969,9996,,,,,,,
2/5/1969,9676,,,,,,,
2/6/1969,9728,,,,,,,
2/7/1969,10102,,,,,,,
2/8/1969,9262,,,,,,,
2/9/1969,8694,,,,,,,
2/10/1969,9954,,,,,,,
2/11/1969,9856,,,,,,,
2/12/1969,10008,,,,,,,
2/13/1969,9606,,,,,,,
2/14/1969,10354,,,,,,,
2/15/1969,9310,,,,,,,
2/16/1969,8534,,,,,,,
2/17/1969,9822,,,,,,,
2/18/1969,10176,,,,,,,
2/19/1969,9816,,,,,,,
2/20/1969,9982,,,,,,,
2/21/1969,9916,,,,,,,
2/22/1969,9152,,,,,,,
2/23/1969,8704,,,,,,,
2/24/1969,9966,,,,,,,
2/25/1969,10566,,,,,,,
2/26/1969,10048,,,,,,,
2/27/1969,9618,,,,,,,
2/28/1969,9756,,,,,,,
3/1/1969,9186,,,,,,,
3/2/1969,8580,,,,,,,
3/3/1969,10068,,,,,,,
3/4/1969,10264,,,,,,,
3/5/1969,10046,,,,,,,
3/6/1969,9704,,,,,,,
3/7/1969,9948,,,,,,,
3/8/1969,9334,,,,,,,
3/9/1969,8394,,,,,,,
3/10/1969,9892,,,,,,,
3/11/1969,10188,,,,,,,
3/12/1969,9776,,,,,,,
3/13/1969,9640,,,,,,,
3/14/1969,10034,,,,,,,
3/15/1969,8838,,,,,,,
3/16/1969,8336,,,,,,,
3/17/1969,10128,,,,,,,
3/18/1969,10136,,,,,,,
3/19/1969,10064,,,,,,,
3/20/1969,9812,,,,,,,
3/21/1969,9902,,,,,,,
3/22/1969,8962,,,,,,,
3/23/1969,8602,,,,,,,
3/24/1969,9802,,,,,,,
3/25/1969,10272,,,,,,,
3/26/1969,9818,,,,,,,
3/27/1969,9698,,,,,,,
3/28/1969,10326,,,,,,,
3/29/1969,8908,,,,,,,
3/30/1969,8186,,,,,,,
3/31/1969,9592,,,,,,,
4/1/1969,9960,,,,,,,
4/2/1969,9978,,,,,,,
4/3/1969,9530,,,,,,,
4/4/1969,9572,,,,,,,
4/5/1969,8748,,,,,,,
4/6/1969,8008,,,,,,,
4/7/1969,9374,,,,,,,
4/8/1969,10176,,,,,,,
4/9/1969,9852,,,,,,,
4/10/1969,9708,,,,,,,
4/11/1969,9920,,,,,,,
4/12/1969,8940,,,,,,,
4/13/1969,8134,,,,,,,
4/14/1969,9566,,,,,,,
4/15/1969,10428,,,,,,,
4/16/1969,9840,,,,,,,
4/17/1969,9876,,,,,,,
4/18/1969,9872,,,,,,,
4/19/1969,8994,,,,,,,
4/20/1969,7928,,,,,,,
4/21/1969,9610,,,,,,,
4/22/1969,10226,,,,,,,
4/23/1969,9868,,,,,,,
4/24/1969,9472,,,,,,,
4/25/1969,9646,,,,,,,
4/26/1969,8922,,,,,,,
4/27/1969,7966,,,,,,,
4/28/1969,9518,,,,,,,
4/29/1969,9700,,,,,,,
4/30/1969,9138,,,,,,,
5/1/1969,9206,,,,,,,
5/2/1969,9736,,,,,,,
5/3/1969,8768,,,,,,,
5/4/1969,8094,,,,,,,
5/5/1969,9930,,,,,,,
5/6/1969,9964,,,,,,,
5/7/1969,9626,,,,,,,
5/8/1969,9484,,,,,,,
5/9/1969,9362,,,,,,,
5/10/1969,8516,,,,,,,
5/11/1969,8122,,,,,,,
5/12/1969,9306,,,,,,,
5/13/1969,9862,,,,,,,
5/14/1969,9184,,,,,,,
5/15/1969,9524,,,,,,,
5/16/1969,9824,,,,,,,
5/17/1969,8946,,,,,,,
5/18/1969,8028,,,,,,,
5/19/1969,9494,,,,,,,
5/20/1969,10388,,,,,,,
5/21/1969,9766,,,,,,,
5/22/1969,9406,,,,,,,
5/23/1969,9584,,,,,,,
5/24/1969,8558,,,,,,,
5/25/1969,8226,,,,,,,
5/26/1969,9840,,,,,,,
5/27/1969,10352,,,,,,,
5/28/1969,9938,,,,,,,
5/29/1969,10190,,,,,,,
5/30/1969,9154,,,,,,,
5/31/1969,8640,,,,,,,
6/1/1969,8426,,,,,,,
6/2/1969,9862,,,,,,,
6/3/1969,10158,,,,,,,
6/4/1969,9838,,,,,,,
6/5/1969,9588,,,,,,,
6/6/1969,10006,,,,,,,
6/7/1969,8814,,,,,,,
6/8/1969,8226,,,,,,,
6/9/1969,9738,,,,,,,
6/10/1969,10320,,,,,,,
6/11/1969,9950,,,,,,,
6/12/1969,10220,,,,,,,
6/13/1969,9852,,,,,,,
6/14/1969,8920,,,,,,,
6/15/1969,8402,,,,,,,
6/16/1969,9744,,,,,,,
6/17/1969,10294,,,,,,,
6/18/1969,10220,,,,,,,
6/19/1969,9756,,,,,,,
6/20/1969,10424,,,,,,,
6/21/1969,9034,,,,,,,
6/22/1969,8612,,,,,,,
6/23/1969,9880,,,,,,,
6/24/1969,10624,,,,,,,
6/25/1969,10466,,,,,,,
6/26/1969,10344,,,,,,,
6/27/1969,10776,,,,,,,
6/28/1969,9566,,,,,,,
6/29/1969,8800,,,,,,,
6/30/1969,10588,,,,,,,
7/1/1969,11146,,,,,,,
7/2/1969,10758,,,,,,,
7/3/1969,10562,,,,,,,
7/4/1969,9168,,,,,,,
7/5/1969,9248,,,,,,,
7/6/1969,8860,,,,,,,
7/7/1969,10634,,,,,,,
7/8/1969,10842,,,,,,,
7/9/1969,10576,,,,,,,
7/10/1969,10562,,,,,,,
7/11/1969,10686,,,,,,,
7/12/1969,9472,,,,,,,
7/13/1969,8978,,,,,,,
7/14/1969,10242,,,,,,,
7/15/1969,11296,,,,,,,
7/16/1969,10698,,,,,,,
7/17/1969,10668,,,,,,,
7/18/1969,10632,,,,,,,
7/19/1969,9674,,,,,,,
7/20/1969,8940,,,,,,,
7/21/1969,10196,,,,,,,
7/22/1969,11040,,,,,,,
7/23/1969,10468,,,,,,,
7/24/1969,10430,,,,,,,
7/25/1969,10688,,,,,,,
7/26/1969,9786,,,,,,,
7/27/1969,9408,,,,,,,
7/28/1969,10548,,,,,,,
7/29/1969,11102,,,,,,,
7/30/1969,10634,,,,,,,
7/31/1969,10346,,,,,,,
8/1/1969,10730,,,,,,,
8/2/1969,9982,,,,,,,
8/3/1969,9082,,,,,,,
8/4/1969,10450,,,,,,,
8/5/1969,10944,,,,,,,
8/6/1969,10852,,,,,,,
8/7/1969,10382,,,,,,,
8/8/1969,11302,,,,,,,
8/9/1969,10092,,,,,,,
8/10/1969,9106,,,,,,,
8/11/1969,10706,,,,,,,
8/12/1969,11138,,,,,,,
8/13/1969,10802,,,,,,,
8/14/1969,10726,,,,,,,
8/15/1969,10910,,,,,,,
8/16/1969,9772,,,,,,,
8/17/1969,9124,,,,,,,
8/18/1969,10650,,,,,,,
8/19/1969,11410,,,,,,,
8/20/1969,10918,,,,,,,
8/21/1969,10184,,,,,,,
8/22/1969,10586,,,,,,,
8/23/1969,9660,,,,,,,
8/24/1969,9084,,,,,,,
8/25/1969,10586,,,,,,,
8/26/1969,11082,,,,,,,
8/27/1969,10638,,,,,,,
8/28/1969,10616,,,,,,,
8/29/1969,10714,,,,,,,
8/30/1969,9708,,,,,,,
8/31/1969,8986,,,,,,,
9/1/1969,9012,,,,,,,
9/2/1969,10686,,,,,,,
9/3/1969,11044,,,,,,,
9/4/1969,10506,,,,,,,
9/5/1969,10610,,,,,,,
9/6/1969,9710,,,,,,,
9/7/1969,9196,,,,,,,
9/8/1969,10508,,,,,,,
9/9/1969,10598,,,,,,,
9/10/1969,10450,,,,,,,
9/11/1969,10408,,,,,,,
9/12/1969,10752,,,,,,,
9/13/1969,9534,,,,,,,
9/14/1969,9204,,,,,,,
9/15/1969,10728,,,,,,,
9/16/1969,11142,,,,,,,
9/17/1969,10864,,,,,,,
9/18/1969,10876,,,,,,,
9/19/1969,10832,,,,,,,
9/20/1969,10040,,,,,,,
9/21/1969,9368,,,,,,,
9/22/1969,10970,,,,,,,
9/23/1969,11300,,,,,,,
9/24/1969,10898,,,,,,,
9/25/1969,10840,,,,,,,
9/26/1969,11154,,,,,,,
9/27/1969,10170,,,,,,,
9/28/1969,9198,,,,,,,
9/29/1969,10708,,,,,,,
9/30/1969,11138,,,,,,,
10/1/1969,10910,,,,,,,
10/2/1969,10656,,,,,,,
10/3/1969,10922,,,,,,,
10/4/1969,9710,,,,,,,
10/5/1969,8972,,,,,,,
10/6/1969,10318,,,,,,,
10/7/1969,10654,,,,,,,
10/8/1969,10510,,,,,,,
10/9/1969,10710,,,,,,,
10/10/1969,10748,,,,,,,
10/11/1969,9566,,,,,,,
10/12/1969,9014,,,,,,,
10/13/1969,9996,,,,,,,
10/14/1969,10618,,,,,,,
10/15/1969,10120,,,,,,,
10/16/1969,9918,,,,,,,
10/17/1969,10338,,,,,,,
10/18/1969,9172,,,,,,,
10/19/1969,8586,,,,,,,
10/20/1969,10148,,,,,,,
10/21/1969,10674,,,,,,,
10/22/1969,10300,,,,,,,
10/23/1969,9814,,,,,,,
10/24/1969,10010,,,,,,,
10/25/1969,9258,,,,,,,
10/26/1969,8864,,,,,,,
10/27/1969,10372,,,,,,,
10/28/1969,10640,,,,,,,
10/29/1969,10104,,,,,,,
10/30/1969,10110,,,,,,,
10/31/1969,10144,,,,,,,
11/1/1969,9342,,,,,,,
11/2/1969,8904,,,,,,,
11/3/1969,10338,,,,,,,
11/4/1969,10772,,,,,,,
11/5/1969,10020,,,,,,,
11/6/1969,10240,,,,,,,
11/7/1969,10660,,,,,,,
11/8/1969,9678,,,,,,,
11/9/1969,9022,,,,,,,
11/10/1969,10342,,,,,,,
11/11/1969,10878,,,,,,,
11/12/1969,10324,,,,,,,
11/13/1969,10100,,,,,,,
11/14/1969,10396,,,,,,,
11/15/1969,9298,,,,,,,
11/16/1969,8660,,,,,,,
11/17/1969,10286,,,,,,,
11/18/1969,10698,,,,,,,
11/19/1969,10260,,,,,,,
11/20/1969,10258,,,,,,,
11/21/1969,10168,,,,,,,
11/22/1969,9438,,,,,,,
11/23/1969,8866,,,,,,,
11/24/1969,10462,,,,,,,
11/25/1969,10864,,,,,,,
11/26/1969,10074,,,,,,,
11/27/1969,8248,,,,,,,
11/28/1969,9948,,,,,,,
11/29/1969,9332,,,,,,,
11/30/1969,8966,,,,,,,
12/1/1969,10648,,,,,,,
12/2/1969,10736,,,,,,,
12/3/1969,10300,,,,,,,
12/4/1969,10254,,,,,,,
12/5/1969,10428,,,,,,,
12/6/1969,9420,,,,,,,
12/7/1969,8740,,,,,,,
12/8/1969,10646,,,,,,,
12/9/1969,10730,,,,,,,
12/10/1969,10348,,,,,,,
12/11/1969,10300,,,,,,,
12/12/1969,10758,,,,,,,
12/13/1969,9602,,,,,,,
12/14/1969,8762,,,,,,,
12/15/1969,10898,,,,,,,
12/16/1969,11022,,,,,,,
12/17/1969,10646,,,,,,,
12/18/1969,10426,,,,,,,
12/19/1969,10912,,,,,,,
12/20/1969,9822,,,,,,,
12/21/1969,8864,,,,,,,
12/22/1969,10492,,,,,,,
12/23/1969,9856,,,,,,,
12/24/1969,8978,,,,,,,
12/25/1969,8284,,,,,,,
12/26/1969,9910,,,,,,,
12/27/1969,9304,,,,,,,
12/28/1969,9004,,,,,,,
12/29/1969,10980,,,,,,,
12/30/1969,12232,,,,,,,
12/31/1969,11122,,,,,,,
1/1/1970,8372,,,,,,,
1/2/1970,9234,,,,,,,
1/3/1970,9162,,,,,,,
1/4/1970,8620,,,,,,,
1/5/1970,9852,,,,,,,
1/6/1970,10202,,,,,,,
1/7/1970,10020,,,,,,,
1/8/1970,9756,,,,,,,
1/9/1970,9844,,,,,,,
1/10/1970,9270,,,,,,,
1/11/1970,9158,,,,,,,
1/12/1970,10474,,,,,,,
1/13/1970,10580,,,,,,,
1/14/1970,10244,,,,,,,
1/15/1970,9946,,,,,,,
1/16/1970,10276,,,,,,,
1/17/1970,9598,,,,,,,
1/18/1970,8948,,,,,,,
1/19/1970,10124,,,,,,,
1/20/1970,10524,,,,,,,
1/21/1970,10096,,,,,,,
1/22/1970,9686,,,,,,,
1/23/1970,10202,,,,,,,
1/24/1970,9470,,,,,,,
1/25/1970,8792,,,,,,,
1/26/1970,10160,,,,,,,
1/27/1970,10602,,,,,,,
1/28/1970,10188,,,,,,,
1/29/1970,9816,,,,,,,
1/30/1970,9912,,,,,,,
1/31/1970,9012,,,,,,,
2/1/1970,9042,,,,,,,
2/2/1970,10542,,,,,,,
2/3/1970,10712,,,,,,,
2/4/1970,10086,,,,,,,
